,Stablecoin_Market_Cap,ETF_Volume_Proxy,BTC_Realized_Cap,Binance_BTC_OI
2024-12-07 00:00:00,"{'peggedUSD': 198440759891, 'peggedVAR': 93739147, 'peggedEUR': 256659130, 'peggedJPY': 1769433232, 'peggedCNY': 70571, 'peggedUAH': 1099795, 'peggedARS': 3100000000, 'peggedGBP': 5446, 'peggedCAD': 1245532, 'peggedCHF': 9245542, 'peggedAUD': 3333987, 'peggedREAL': 4322101}",,,
2024-12-08 00:00:00,"{'peggedUSD': 198852584340, 'peggedVAR': 93746698, 'peggedEUR': 256625374, 'peggedJPY': 1769933919, 'peggedCNY': 70571, 'peggedUAH': 1099795, 'peggedARS': 3100000000, 'peggedGBP': 5446, 'peggedCAD': 1245532, 'peggedCHF': 9317909, 'peggedAUD': 3333987, 'peggedREAL': 4357256}",,,
2024-12-09 00:00:00,"{'peggedUSD': 200030171966, 'peggedVAR': 93751456, 'peggedEUR': 255978458, 'peggedJPY': 1768831936, 'peggedCNY': 70571, 'peggedUAH': 1099795, 'peggedARS': 3100000000, 'peggedGBP': 5446, 'peggedCAD': 1245532, 'peggedCHF': 9367229, 'peggedAUD': 3333987, 'peggedREAL': 4338150}",3047235022.5128174,,
2024-12-10 00:00:00,"{'peggedUSD': 199787402804, 'peggedVAR': 93707496, 'peggedEUR': 255250443, 'peggedJPY': 1653024655, 'peggedCNY': 70571, 'peggedUAH': 1099795, 'peggedARS': 3100000000, 'peggedGBP': 5446, 'peggedCAD': 1245532, 'peggedCHF': 9337356, 'peggedAUD': 3333987, 'peggedREAL': 3772077}",2679669074.4781494,,
2024-12-11 00:00:00,"{'peggedUSD': 200432741150, 'peggedVAR': 93719547, 'peggedEUR': 255816724, 'peggedJPY': 1768835987, 'peggedCNY': 70571, 'peggedUAH': 1086073, 'peggedARS': 3100000000, 'peggedGBP': 5446, 'peggedCAD': 1245532, 'peggedCHF': 9339568, 'peggedAUD': 3333987, 'peggedREAL': 3612606}",2820926531.6589355,,
2024-12-12 00:00:00,"{'peggedUSD': 202599492882, 'peggedVAR': 93606461, 'peggedEUR': 255308061, 'peggedCNY': 70571, 'peggedUAH': 1086073, 'peggedARS': 3100000000, 'peggedGBP': 5446, 'peggedCAD': 1245532, 'peggedCHF': 9393094, 'peggedAUD': 3333987, 'peggedJPY': 184599892, 'peggedREAL': 3480695}",2209139124.934387,,
2024-12-13 00:00:00,"{'peggedUSD': 203083538866, 'peggedVAR': 93629312, 'peggedEUR': 255878061, 'peggedCNY': 70571, 'peggedUAH': 1086073, 'peggedARS': 3100000000, 'peggedGBP': 5446, 'peggedCAD': 1235532, 'peggedCHF': 9390742, 'peggedAUD': 3333987, 'peggedJPY': 184599892, 'peggedREAL': 3458124}",2193729241.2197113,,
2024-12-14 00:00:00,"{'peggedUSD': 204009389970, 'peggedVAR': 93631491, 'peggedEUR': 255429977, 'peggedCNY': 70571, 'peggedUAH': 1086073, 'peggedARS': 3100000000, 'peggedGBP': 5446, 'peggedCAD': 1235532, 'peggedCHF': 9553783, 'peggedAUD': 3333987, 'peggedJPY': 184699892, 'peggedREAL': 3525545}",2193729241.2197113,,
2024-12-15 00:00:00,"{'peggedUSD': 204251195452, 'peggedVAR': 93674706, 'peggedEUR': 255385934, 'peggedCNY': 70571, 'peggedUAH': 1086073, 'peggedARS': 3100000000, 'peggedGBP': 5446, 'peggedCAD': 1235532, 'peggedCHF': 9556149, 'peggedAUD': 3333987, 'peggedJPY': 184699892, 'peggedREAL': 3549256}",2193729241.2197113,,
2024-12-16 00:00:00,"{'peggedUSD': 204408626234, 'peggedVAR': 93746857, 'peggedEUR': 255353068, 'peggedCNY': 70571, 'peggedUAH': 1086073, 'peggedARS': 3100000000, 'peggedGBP': 5446, 'peggedCAD': 1235532, 'peggedCHF': 9576245, 'peggedAUD': 3333987, 'peggedJPY': 185314892, 'peggedREAL': 3535897}",3853724780.117798,,
